LO_COMPTEUR;LO_DEPARTEMENT;NOM_PAYS;CODE_ISO;ID_PAYS
101376;KP;"North Korea";KP;127
114581;63;France;FR;1
443160;10;France;FR;1
114591;45;France;FR;1
96706;49;France;FR;1
96856;08;France;FR;1
97550;DO;"Dominican Republic";DO;130
98336;PG;"Papua New Guinea";PG;56
98337;PG;"Papua New Guinea";PG;56
98338;PG;"Papua New Guinea";PG;56
98339;PG;"Papua New Guinea";PG;56
98340;PG;"Papua New Guinea";PG;56
98341;PG;"Papua New Guinea";PG;56
98342;PG;"Papua New Guinea";PG;56
98343;PG;"Papua New Guinea";PG;56
98344;PG;"Papua New Guinea";PG;56
98507;DO;"Dominican Republic";DO;130
98508;DO;"Dominican Republic";DO;130
98511;DO;"Dominican Republic";DO;130
98512;DO;"Dominican Republic";DO;130
103277;04;France;FR;1
101078;03;France;FR;1
101851;PG;"Papua New Guinea";PG;56
101852;PG;"Papua New Guinea";PG;56
101853;PG;"Papua New Guinea";PG;56
101855;PG;"Papua New Guinea";PG;56
101361;CD;"DR Congo";CD;123
101362;CD;"DR Congo";CD;123
101363;CD;"DR Congo";CD;123
101364;CD;"DR Congo";CD;123
101365;CD;"DR Congo";CD;123
101366;CD;"DR Congo";CD;123
101367;CD;"DR Congo";CD;123
101368;CD;"DR Congo";CD;123
101369;CD;"DR Congo";CD;123
101370;CD;"DR Congo";CD;123
101371;CD;"DR Congo";CD;123
101373;KP;"North Korea";KP;127
101374;PK;Pakistan;PK;188
101375;KP;"North Korea";KP;127
103412;DO;"Dominican Republic";DO;130
103413;CD;"DR Congo";CD;123
101377;KP;"North Korea";KP;127
101378;KP;"North Korea";KP;127
101379;KP;"North Korea";KP;127
101380;KP;"North Korea";KP;127
101381;KP;"North Korea";KP;127
101382;KP;"North Korea";KP;127
101383;KP;"North Korea";KP;127
101421;DO;"Dominican Republic";DO;130
101422;DO;"Dominican Republic";DO;130
101423;DO;"Dominican Republic";DO;130
101424;DO;"Dominican Republic";DO;130
101425;DO;"Dominican Republic";DO;130
101426;DO;"Dominican Republic";DO;130
102585;GB;"United Kingdom";GB;41
101684;DO;"Dominican Republic";DO;130
101691;DO;"Dominican Republic";DO;130
103243;33;France;FR;1
103343;CD;"DR Congo";CD;123
103344;CD;"DR Congo";CD;123
103345;CD;"DR Congo";CD;123
103346;CD;"DR Congo";CD;123
103347;CD;"DR Congo";CD;123
104575;CH;Switzerland;CH;16
442442;57;France;FR;1
442765;CH;Switzerland;CH;16
440460;FO;Folklore;FO;0
440461;FO;Folklore;FO;0
440702;PL;Poland;PL;190
440986;43;France;FR;1
441555;54;France;FR;1
441714;FO;Folklore;FO;0
441715;FO;Folklore;FO;0
442008;22;France;FR;1
442342;45;France;FR;1
443015;37;France;FR;1
443371;PT;Portugal;PT;60
