IDS_FR;NOM_LOCALITE;DEPARTEMENTS;IDS_ALLEMANDS
65886,74996;ASPACH;57,68;378017
65844;ACHEN;57;377544
65931;BELLEVUE;57;378553
65934;BENSDORF;57;378594
65955,100706;BETTINGEN;57;94618
66010;BREIDENBACH;57;379321
66035;CAPPEL;57;379760
66137;ENDORF;57;380870
66185;FORBACH;57;94823
66194;FRAUENBERG;57;381327
66652;RECH;57;95374
66268;HAGEN;57;94917
66274;HAMBACH;57;382880
66331;HOF;57;94973
66416;LEMBERG;57;385773
66461;MACHERN;57;386281
66484,66485,74629;MARIENTHAL;57,67;386397
66502;MENGEN;57;386630
66540;MORSBACH;57;95204
66556;NEUENDORF;57;387375
66588;OBERWEILER;57;388033
66603,75340;OTTENDORF;57,68;388297
66763;SCHEUERN;57;390060
66773;SCHWEIX;57;390501
66807;STEINBRUCKEN;57;391121
66911,66912;WALDECK;57;392424
100780,74673,75303;NEUDORF;57,67,68;387361
100874;HELLINGEN;57;383217
74304;BERG;67;378610
74813;SAND;67;389871
74274,74275;ALTDORF;67;377747
74278;ALTENSTADT;67;377786
74284;ASCHBACH;67;378006
74320;BIRLENBACH;67;378876
74321;BISCHHEIM;67;378886
74324;BISCHOFSHEIM;67;94635
74383;DAMBACH;67;379934
74343;BREITENAU;67;379326
74344,75050;BREITENBACH;67,68;379327
74354,74355,75060;BUHL;67,68;94673
74356;BURBACH;67;379609
74434;ERGERSHEIM;67;380945
74439;ESCHAU;67;380999
74440;ESCHBACH;67;94793
74443;ETTENDORF;67;381053
74458;FRIESENHEIM;67;94839
74509;HATTEN;67;383024
74491;GRIES;67;382256
74495;GRUBE;67;382611
74507;HANHOFEN;67;382917
74516;HEILIGENBERG;67;383139
74573,75217;KIRCHBERG;67,68;384623
74574;KIRCHHEIM;67;384648
74580;KLINGENTHAL;67;384898
74617;LOHR;67;386053
74594;KUTZENHAUSEN;67;385442
74597;LAMPERTHEIM;67;95084
74600,74601;LANDSBERG;67;385511
74603;LAUBACH;67;385621
74604;LAUBENHEIM;67;385623
74609;LICHTENBERG;67;385866
74648;MITTELHAUSEN;67;386799
74652;MOLSHEIM;67;386884
74653;MOMMENHEIM;67;386892
74655;MOREL;67;386939
74662,107361;MULHAUSEN;67,68;107360
74663;MUNCHHAUSEN;67;387083
74677;NEUHOF;67;387428
74693;NORDHEIM;67;387781
74703,74704,74705;OBERHOF;67;387911
74708;OBERLAUTERBACH;67;387932
74727;ORTENBERG;67;95321
74755;RAMSTHAL;67;389015
74790;ROTT;67;389683
74811;SALM;67;389847
74838;SCHNEEBERG;67;390244
74845;SCHONEBERG;67;390296
74852;SEEBACH;67;95493
74884;STRUTH;67;391348
74906,75487;URBACH;67,68;392100
74927;WALDHAMBACH;67;392438
74930;WANGEN;67;392529
74936;WEILER;67;95656
74944;WEYER;67;392990
106047;DIEFENBACH;67;380128
75051;BRETTEN;68;379376
74987;ALTENBACH;68;377753
75001;AUE;68;378048
75016;BENDORF;68;94605
75019;BERGHEIM;68;378627
75026;BETTENDORF;68;378733
75114;FRANKENTHAL;68;94828
75146;GUNDOLSHEIM;68;94911
75151;HAGENBACH;68;382806
75157;HAUSERN;68;383051
75161;HECKEN;68;383077
75186;HOMBOURG;68;166688
75192;HUNDSBACH;68;383977
75201;INGERSHEIM;68;384099
75204;JETTINGEN;68;384256
75232;LANGENFELD;68;385537
75237;LAUTENBACH;68;95100
75241;LEIMBACH;68;385734
75274;MERXHEIM;68;386668
75259;LUTTER;68;386255
75266;MARBACH;68;95152
75278;MICHELBACH;68;386728
75311;NIEDERESCHBACH;68;121881
75339;OSTHEIM;68;388276
75378;RODERN;68;389506
75504;WALHEIM;68;392466
75418;SCHLIERBACH;68;390161
75438;SONNENBERG;68;390852
75449;STEINBACH;68;391111
75502;WAHLBACH;68;392378
75509;WEGSCHEID;68;392648
90179;SULZ;68;391418
96915,96916;BISCHWEIER;68;378898
